4296,7582,9079,12328,15958,Requested,Created,Diff,Diff%
1,1,0,0,2,256,268,-12,-4
2,1,0,0,2,68,64,4,6
0,2,0,0,2,68,67,1,1
1,2,0,0,2,68,65,3,4
2,2,0,0,2,176,172,4,2
0,0,1,0,2,953,964,-11,0
1,0,1,0,2,743,731,12,2
2,0,1,0,2,164,170,-6,-3
0,1,1,0,2,278,267,11,4
1,1,1,0,2,217,221,-4,-1
2,1,1,0,2,68,89,-21,-30
0,2,1,0,2,68,65,3,4
1,2,1,0,2,68,78,-10,-14
2,2,1,0,2,176,174,2,1
0,0,2,0,2,216,195,21,10
1,0,2,0,2,178,191,-13,-6
2,0,2,0,2,176,178,-2,0
0,1,2,0,2,68,66,2,3
1,1,2,0,2,68,56,12,18
2,1,2,0,2,176,166,10,6
0,2,2,0,2,176,191,-15,-8
1,2,2,0,2,176,147,29,16
2,2,2,0,2,457,464,-7,-1
0,0,0,1,2,1249,1208,41,3
1,0,0,1,2,974,978,-4,0
2,0,0,1,2,216,203,13,6
0,1,0,1,2,365,332,33,9
1,1,0,1,2,285,268,17,6
2,1,0,1,2,68,56,12,18
0,2,0,1,2,68,76,-8,-11
1,2,0,1,2,68,86,-18,-25
2,2,0,1,2,176,194,-18,-9
0,0,1,1,2,1058,1059,-1,0
1,0,1,1,2,825,874,-49,-5
2,0,1,1,2,194,184,10,5
0,1,1,1,2,309,310,-1,0
1,1,1,1,2,241,258,-17,-6
2,1,1,1,2,68,59,9,13
0,2,1,1,2,68,64,4,6
1,2,1,1,2,68,62,6,9
2,2,1,1,2,176,171,5,3
0,0,2,1,2,256,252,4,2
1,0,2,1,2,211,221,-10,-4
2,0,2,1,2,176,188,-12,-6
0,1,2,1,2,78,75,3,4
1,1,2,1,2,68,72,-4,-5
2,1,2,1,2,176,178,-2,0
0,2,2,1,2,176,175,1,1
1,2,2,1,2,176,158,18,10
2,2,2,1,2,457,495,-38,-7
0,0,0,2,2,376,381,-5,0
1,0,0,2,2,310,301,9,3
2,0,0,2,2,176,187,-11,-5
0,1,0,2,2,115,102,13,11
1,1,0,2,2,95,94,1,1
2,1,0,2,2,176,176,0,0
0,2,0,2,2,176,162,14,8
1,2,0,2,2,176,183,-7,-3
2,2,0,2,2,457,471,-14,-2
0,0,1,2,2,337,307,30,9
1,0,1,2,2,278,261,17,6
2,0,1,2,2,176,175,1,1
0,1,1,2,2,103,102,1,1
1,1,1,2,2,85,82,3,4
2,1,1,2,2,176,194,-18,-9
0,2,1,2,2,176,166,10,6
1,2,1,2,2,176,193,-17,-9
2,2,1,2,2,457,465,-8,-1
0,0,2,2,2,176,185,-9,-4
1,0,2,2,2,176,170,6,3
2,0,2,2,2,457,463,-6,0
0,1,2,2,2,176,185,-9,-4
1,1,2,2,2,176,183,-7,-3
2,1,2,2,2,457,444,13,3
0,2,2,2,2,457,421,36,8
1,2,2,2,2,457,456,1,0
2,2,2,2,2,1188,1173,15,1

NUM,SUM,MAX,MIN
237,27,72,-95
198,27,24,-31
