TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
1483,5096454.57278,9943.24547139,2225847.75,17817.3115598,4361,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19048-2][19086-2];5096454.57278,[5314-2][5475-2][9179-2][14825-2][14831-2][16922-2][19042-2][19086-2];4911288.01599,[695-2][5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];4829030.30868
1576,5096454.57278,1133.41358058,2203848.5,18051.8060296,4351,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19048-2][19086-2];5096454.57278,[5314-2][5475-2][9179-2][14825-2][14831-2][16922-2][19042-2][19086-2];4911288.01599,[695-2][5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];4829030.30868
1669,5096454.57278,9344.75584411,2230400,18114.6871344,4319,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19048-2][19086-2];5096454.57278,[5314-2][5475-2][9179-2][14825-2][14831-2][16922-2][19042-2][19086-2];4911288.01599,[5314-2][8765-2][9179-2][14825-2][14831-2][14975-2][19042-2][19086-2];4839005.68022
1763,5285228.6779,4221.90760274,2233809,18247.5182821,4304,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19048-2][19086-2];5096454.57278,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19049-2][19086-2];4968221.53461
1856,5285228.6779,9435.84713071,2264637.75,18250.3705317,4286,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19048-2][19086-2];5096454.57278,[5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19049-2][19086-2];4968221.53461
1950,5285228.6779,2821.81191054,2270985.5,18520.3757398,4291,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[4925-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5233761.17677,[4925-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5098105.05916
2044,5285228.6779,930.995324443,2265443.25,18455.9961623,4298,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[695-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5284898.12328,[4925-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5233761.17677
2137,5285228.6779,905.102939254,2235506.5,18704.3600792,4284,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[695-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5284898.12328,[4925-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5233761.17677
2230,5285228.6779,9883.0673606,2232958.5,18692.8335254,4293,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[695-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5284898.12328,[4925-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5233761.17677
2324,5438445.43255,1741.28126293,2274688.5,18832.6375131,4269,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];5438445.43255,[695-2][4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5285228.6779,[695-2][5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5284898.12328
