TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3.58686e+06,Top
115,69429.0801675,0.942772000805,4972.61376953,121.603442998,3133,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[5314-2][19051-2];24544.8014676
231,69429.0801675,2.11801320414,19908.1367188,270.250775324,1087,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
344,69429.0801675,2.79305265064,35268.703125,370.656329485,1031,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
456,69429.0801675,4.24673377968,49219.8867188,357.160285774,934,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
569,69429.0801675,4.24673377968,55566.0664062,322.037534031,863,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
681,69429.0801675,4.24673377968,58282.734375,301.477400637,781,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
869,69429.0801675,1.32923870727,33115.4804688,485.237806708,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
983,69429.0801675,4.99327868884,61706.8671875,271.987614476,627,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1098,69429.0801675,8.26799709972,60725.28125,286.074210117,732,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1210,69429.0801675,5.09904266345,60414.6640625,290.312519888,769,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1321,69429.0801675,3.7673678856,60628.7695312,287.258518741,744,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1434,69429.0801675,6.91919958421,60543.828125,288.285277833,755,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1621,69429.0801675,1.00123972117,33116.8515625,485.231002464,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1730,69429.0801675,1.00123972117,61551.4257812,273.915893983,636,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1842,69429.0801675,1.00123972117,60677.6914062,286.026614354,717,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
1953,69429.0801675,5.67438119168,60923.0664062,282.9507505,701,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358,[10981-2][19056-2];38455.0401408
2062,72535.5883595,5.43482323544,60921.9023438,283.093366521,700,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[3397-2][9179-2];72535.5883595,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358
2175,72535.5883595,4.67687500194,60527.40625,288.507235466,743,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[3397-2][9179-2];72535.5883595,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358
2286,72535.5883595,4.94695880563,60970.3242188,282.081375012,706,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[3397-2][9179-2];72535.5883595,[5314-2][10981-2];69429.0801675,[5314-2][19056-2];45057.5959358
2397,349005.073976,6.99305077537,60503.4570312,294.648832149,755,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[3397-2][9179-2];72535.5883595,[5314-2][10981-2];69429.0801675
2508,349005.073976,2.44154478719,60583.3867188,306.923056119,751,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[3397-2][9179-2];72535.5883595,[5314-2][10981-2];69429.0801675
2621,349005.073976,5.75624017449,61521.234375,357.826659974,737,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[3397-2][9179-2];72535.5883595,[9179-2][13123-2];72421.0540536
2733,349005.073976,5.81309026036,65504.1992188,608.515863465,761,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][16958-2];72778.8129373,[3397-2][9179-2];72535.5883595
2844,349005.073976,3.67365747643,85936.546875,1187.17777622,732,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][16958-2];72778.8129373
2956,349005.073976,3.67365747643,149572.78125,1907.84808655,701,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][10425-2];72877.0958834
3144,349005.073976,1.79855608973,166320.4375,2440.6864461,2648,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[4462-2][9179-2];73223.0050732
3255,349005.073976,7.53606735102,307268.875,1471.20282804,640,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][19044-2];77506.044647
3365,349005.073976,5.51025011247,304568.6875,1509.63120973,696,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][19044-2];77506.044647
3474,349005.073976,4.98250239304,303749.25,1526.19494599,714,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][19044-2];77506.044647
3582,349005.073976,10.6148347408,304321.40625,1509.72991738,695,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
3691,349005.073976,3.88532432316,302422.40625,1539.12944092,747,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
3880,349005.073976,1.07861637791,166371.703125,2440.53917618,2649,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
3988,349005.073976,4.82123679305,304985.125,1501.17238726,684,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
4098,349005.073976,4.82123679305,304828.28125,1500.39044546,696,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
4207,349005.073976,4.82123679305,304312.53125,1513.20188543,704,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
4315,349005.073976,2.5357556907,304410.28125,1509.30099577,703,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
4424,349005.073976,5.33876583766,304958.375,1499.93786435,695,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
4610,349005.073976,1.1899521803,166389.859375,2440.35881,2649,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
4720,349005.073976,1.1899521803,308252.1875,1454.64632236,639,0[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2];349005.073976,[9179-2][10981-2];308826.558513,[9179-2][14825-2];242165.166566
