TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
1619,5438804.47446,369.527725878,1885895.125,26279.4566015,3951,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1708,5438804.47446,9308.69148169,2727891.25,20186.1293423,3453,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1796,5438804.47446,9336.40815583,2670027.75,20256.5556489,3544,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1884,5438804.47446,9115.02772472,2598512.5,20599.8382468,3639,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
1973,5438804.47446,2409.17143155,2588870.5,20569.7043005,3656,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2061,5438804.47446,851.785137088,2597135.75,20467.5159947,3659,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2205,5438804.47446,307.915297607,1930730.5,26912.5106651,3851,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2294,5438804.47446,307.915297607,2827750.5,20526.7495925,3314,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2384,5438804.47446,9542.90319134,2693508,20863.3547375,3469,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
2472,5438804.47446,9542.90319134,2614839.25,21056.634341,3538,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984,[695-2][5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5155755.32603
