TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
2619,6164656.45387,13353.4182047,3120303,22031.7321744,1738,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2743,6164656.45387,10546.6030686,3057724.5,22376.9371548,1803,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2867,6164656.45387,10587.9504699,3069061,22389.6471749,1820,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2994,6164656.45387,9047.46083485,3080713.75,22331.2123851,1794,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
3198,6164656.45387,147.028509393,2172332,30884.3622441,2652,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
3321,6164656.45387,8972.18550668,3402954,22074.5613758,1479,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
3447,6164656.45387,8942.7191747,3241907.25,22888.3323966,1711,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
3572,6164656.45387,9077.14510734,3173553.5,23024.9037779,1773,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
3700,6164656.45387,8960.70450881,3155101.75,23371.5881689,1783,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
3826,6164656.45387,9096.73579865,3211111.25,22911.4781535,1705,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4029,6164656.45387,150.643773343,2254919.75,31962.700242,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4154,6164656.45387,9966.76594422,3508186.25,22741.495893,1424,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4280,6164656.45387,409.337852094,3336912.75,23598.1295931,1615,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4405,6164656.45387,480.033639209,3293951.5,23627.4296934,1673,154[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4530,6164656.45387,516.101894026,3332802.75,23534.3344989,1644,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4658,6164656.45387,1415.97852914,3345694.25,23621.8688619,1637,154[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4862,6164656.45387,119.006131998,2325809,32878.0053777,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
4988,6164656.45387,119.006131998,3731906.25,22784.3125956,1264,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
5115,6164656.45387,8868.73935719,3574439.5,23523.9079566,1429,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
5243,6164656.45387,8930.42338513,3494117.75,23893.3576316,1490,151[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
5369,6164656.45387,8912.82841483,3461326,23882.3450773,1530,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
5494,6164656.45387,551.479216074,3447612.25,23646.9566579,1536,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
122,1984827.94891,129.911916928,104253.851562,2193.75904749,3973,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][12818-2][14825-2][19053-2];1984827.94891,[3502-2][5314-2][9179-2][10542-2][10981-2];1922156.1354,[3145-2][5314-2][9179-2][9601-2][10981-2];1775258.24371
240,4454605.47997,182.228589245,289402.78125,5066.62774258,4079,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][14825-2][16922-2];4454605.47997,[5314-2][9179-2][10981-2][14825-2][19048-2];4363774.74062,[5314-2][6383-2][9179-2][10981-2][14825-2];4291398.97973
359,5018474.70905,164.605046718,612126.4375,9640.86080183,3993,21[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][10981-2][19048-2][19056-2];4924169.9182,[5314-2][9179-2][9601-2][10981-2][14825-2];4880776.49289
480,6164656.45387,429.072890658,1069719.875,14580.7573677,3820,66[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][10981-2][19048-2][19056-2];4924169.9182
599,6164656.45387,319.591399921,1601849,18632.4734906,3399,108[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905,[5314-2][9179-2][9601-2][10981-2][19056-2];4955179.48511
719,6164656.45387,617.0943324,2068568.125,20793.7448362,2936,129[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
841,6164656.45387,185.786647437,2387403.5,21276.5833006,2577,144[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
962,6164656.45387,3709.78887559,2613255.5,21634.1108482,2279,150[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1082,6164656.45387,3709.78887559,2760624,21676.9018911,2102,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1279,6164656.45387,147.300779758,2058487.25,29347.1766225,2685,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1403,6164656.45387,10188.6772776,3241575.75,20695.6082277,1539,153[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1524,6164656.45387,8937.79017185,3049980,21632.1456661,1771,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1649,6164656.45387,8959.98144735,3031746,21590.3559909,1803,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1771,6164656.45387,8988.60964708,2980025,22048.3136999,1876,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
1893,6164656.45387,402.134831971,3012514.5,21955.9202413,1832,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2093,6164656.45387,167.765853382,2125849.25,30271.281514,2651,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2216,6164656.45387,8963.90187202,3272330.75,22025.2548357,1554,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
2339,6164656.45387,10328.5125797,3169109.5,22246.2756031,1713,152[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][14825-2][19042-2][19053-2];6164656.45387,[5314-2][9179-2][10981-2][19046-2][19056-2];5045895.45441,[5314-2][9179-2][10981-2][19056-2][19057-2];5018474.70905
