TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 32,Top
0,5,-2.99999991059,0.841895520687,0.0647414699269,272,-1[531-2][924-2][1112-2];32;63;1;,[330-2][852-2][1485-2];5;9;1;,[399-2][606-2][1483-2];3;5;1;,[595-2][866-2][1483-2];3;2;0;
0,6,-4.99999992549,0.979307770729,0.064439140338,268,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[534-2][544-2][1030-2];3.5;6;1;
0,6,-3.49999984354,1.04499530792,0.0621578780219,265,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[896-2][1315-2][1591-2];4;3;0;
0,6,-4,1.04633688927,0.0547989813316,269,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
0,6,-6.99999968708,1.23209774494,0.0544895394228,276,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
0,6,-4.99999992549,1.09770298004,0.0690085789354,264,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
0,6,-5.99999982119,1.06441891193,0.0413908457999,259,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[522-2][846-2][1048-2];5;4;0;,[330-2][852-2][1485-2];5;9;1;
0,6,-4,1.2912260294,0.0571801070793,274,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
0,6,-2.99999991059,1.20427632332,0.0551480732843,274,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
0,6,-2.99999991059,1.20623147488,0.0735745159802,263,-1[531-2][924-2][1112-2];32;63;1;,[756-2][1270-2][1744-2];6;5;0;,[330-2][852-2][1485-2];5;9;1;,[522-2][846-2][1048-2];5;4;0;
