TimeElapsed, Max, Min, Mean, Std, Number of items.,,Top
0,34,-14,1.06200003624,0.180973764848,484,[1-0][5-0][7-0][13-1][15-0];34;348;382;,[1-0][5-0][6-0][10-1][24-0];30;204;234;,[1-0][12-0][16-1][19-1][22-1];20;200;220;
0,34,-11,1.4659999609,0.218890862815,484,[1-0][5-0][7-0][13-1][15-0];34;348;382;,[1-0][5-0][6-0][10-1][24-0];30;204;234;,[2-0][12-0][16-1][21-0][22-1];26;232;258;
0,34,-13,2.16199994087,0.298258799749,480,[1-0][5-0][7-0][13-1][15-0];34;348;382;,[1-0][5-0][6-0][10-1][24-0];30;204;234;,[1-0][2-0][11-0][13-1][15-0];29;283;312;
0,51,-13,2.61599993706,0.288874297434,481,[1-0][4-0][13-1][15-0][17-0];51;384;435;,[1-0][5-0][7-0][13-1][15-0];34;348;382;,[1-0][5-0][6-0][10-1][24-0];30;204;234;
0,58,-21,4.1859998703,0.283441542162,478,[1-0][4-0][6-0][15-0][17-0];58;505;563;,[1-0][4-0][13-1][15-0][17-0];51;384;435;,[2-0][10-1][15-0][17-0][21-0];49;287;336;
0,58,-12,5.15600013733,0.443287969132,472,[1-0][4-0][6-0][15-0][17-0];58;505;563;,[1-0][4-0][10-1][15-0][17-0];57;341;398;,[1-0][2-0][15-0][17-0][20-1];52;446;498;
0,58,-23,6.02799987793,0.495963822558,474,[1-0][4-0][6-0][15-0][17-0];58;505;563;,[1-0][4-0][10-1][15-0][17-0];57;341;398;,[1-0][2-0][15-0][17-0][20-1];52;446;498;
0,61,-21,8.09200000763,0.442399769026,470,[1-0][2-0][7-0][17-0][21-0];61;647;708;,[1-0][10-1][17-0][21-0][24-0];60;299;359;,[1-0][4-0][6-0][15-0][17-0];58;505;563;
0,80,-27,10.4160003662,0.482571758691,468,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][2-0][7-0][17-0][21-0];61;647;708;,[1-0][10-1][17-0][21-0][24-0];60;299;359;
0,80,-25,14.1219997406,0.488544440028,463,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][2-0][15-0][17-0][21-0];67;634;701;,[1-0][13-1][15-0][17-0][21-0];64;500;564;
0,80,-19,14.4340000153,0.558678673805,457,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][4-0][15-0][17-0][21-0];72;585;657;,[1-0][2-0][15-0][17-0][21-0];67;634;701;
0,83,-18,17.2619991302,0.641167082882,455,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][2-0][15-0][17-0][26-0];74;687;761;
0,83,-25,19.0559997559,0.763460248802,452,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
0,83,-23,19.9440002441,0.618914154779,453,[1-0][10-1][17-0][21-0][26-0];83;520;603;,[1-0][10-1][15-0][17-0][26-0];80;506;586;,[1-0][10-1][15-0][17-0][21-0];75;441;516;
