4296,7582,9079,12328,15958,Requested,Created,Diff,Diff%
0,1,0,0,2,328,341,-13,-3
1,1,0,0,2,249,249,0,0
2,1,0,0,2,47,53,-6,-12
0,2,0,0,2,23,17,6,26
1,2,0,0,2,18,21,-3,-16
2,2,0,0,2,3,2,1,33
0,0,1,0,2,945,968,-23,-1
1,0,1,0,2,717,699,18,3
2,0,1,0,2,136,114,22,16
0,1,1,0,2,270,242,28,10
1,1,1,0,2,205,213,-8,-3
2,1,1,0,2,39,28,11,28
0,2,1,0,2,19,19,0,0
1,2,1,0,2,15,13,2,13
2,2,1,0,2,3,3,0,0
0,0,2,0,2,194,176,18,9
1,0,2,0,2,147,146,1,1
2,0,2,0,2,28,32,-4,-13
0,1,2,0,2,56,57,-1,-1
1,1,2,0,2,42,42,0,0
2,1,2,0,2,8,12,-4,-49
0,2,2,0,2,4,4,0,0
1,2,2,0,2,3,4,-1,-32
2,2,2,0,2,0,0,0,-2147483648
0,0,0,1,2,1235,1299,-64,-4
1,0,0,1,2,937,934,3,0
2,0,0,1,2,178,189,-11,-5
0,1,0,1,2,353,395,-42,-11
1,1,0,1,2,268,266,2,1
2,1,0,1,2,51,44,7,14
0,2,0,1,2,25,22,3,12
1,2,0,1,2,19,23,-4,-20
2,2,0,1,2,3,7,-4,-132
0,0,1,1,2,1017,1012,5,0
1,0,1,1,2,772,792,-20,-2
2,0,1,1,2,146,139,7,5
0,1,1,1,2,291,276,15,5
1,1,1,1,2,220,205,15,7
2,1,1,1,2,42,43,-1,-1
0,2,1,1,2,21,22,-1,-4
1,2,1,1,2,16,19,-3,-18
2,2,1,1,2,3,4,-1,-32
0,0,2,1,2,209,190,19,9
1,0,2,1,2,159,161,-2,0
2,0,2,1,2,30,34,-4,-12
0,1,2,1,2,60,69,-9,-14
1,1,2,1,2,45,47,-2,-3
2,1,2,1,2,8,7,1,13
0,2,2,1,2,4,2,2,50
1,2,2,1,2,3,2,1,33
2,2,2,1,2,0,0,0,-2147483648
0,0,0,2,2,333,299,34,10
1,0,0,2,2,252,251,1,0
2,0,0,2,2,48,56,-8,-16
0,1,0,2,2,95,114,-19,-19
1,1,0,2,2,72,80,-8,-10
2,1,0,2,2,14,13,1,7
0,2,0,2,2,7,1,6,86
1,2,0,2,2,5,7,-2,-39
2,2,0,2,2,1,0,1,100
0,0,1,2,2,274,262,12,4
1,0,1,2,2,208,184,24,12
2,0,1,2,2,39,37,2,5
0,1,1,2,2,78,85,-7,-8
1,1,1,2,2,59,66,-7,-11
2,1,1,2,2,11,8,3,27
0,2,1,2,2,5,3,2,40
1,2,1,2,2,4,6,-2,-49
2,2,1,2,2,0,0,0,-2147483648
0,0,2,2,2,56,62,-6,-10
1,0,2,2,2,43,47,-4,-8
2,0,2,2,2,8,7,1,13
0,1,2,2,2,16,9,7,44
1,1,2,2,2,12,10,2,17
2,1,2,2,2,2,0,2,100
0,2,2,2,2,1,0,1,100
1,2,2,2,2,0,0,0,-2147483648
2,2,2,2,2,0,0,0,-2147483648

NUM,SUM,MAX,MIN
222,11,135,-83
211,11,100,-2147483648
