TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
962,46.6357154846,-8.99999993294,16.3275527954,0.234925206902,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
993,46.6357154846,-6.99999968708,23.5689353943,0.203060962834,1566,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1025,46.6357154846,-6.99999968708,26.8470211029,0.172462205696,1074,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1056,46.6357154846,-5.99999982119,28.1465473175,0.157863919773,876,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1088,46.6357154846,-4,28.2451629639,0.156753635296,855,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1120,46.6357154846,-4,28.7917308807,0.150657902616,801,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1172,46.6357154846,-5.99999982119,16.3686294556,0.234563090069,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1203,46.6357154846,-5.99999982119,24.6135540009,0.196063628165,1410,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1235,46.6357154846,-4,27.1731567383,0.168822237407,1013,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1266,46.6357154846,-4,28.3749904633,0.154547860098,838,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1298,46.6357154846,-4,28.6259536743,0.152343594027,824,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][12910-2];33.6666679382
1330,46.6357154846,-4,28.5450057983,0.153348245728,853,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
