TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
851,2133,-2,1670.4954834,11.7594037922,623,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
883,2133,-2.99999991059,1678.35864258,11.6677409681,603,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
915,2133,-2,1677.17749023,11.6995806373,620,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
947,2133,-2,1667.63464355,11.7873835539,634,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
999,2133,-4.99999992549,1009.42541504,14.8516214514,2649,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1030,2133,-4.99999992549,1704.20837402,11.4454226707,605,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1062,2133,-2.99999991059,1682.80505371,11.6591430834,615,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1094,2133,-2,1674.44580078,11.7079787565,601,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1125,2133,-2,1674.70739746,11.7479134104,628,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1158,2133,-2,1650.88024902,11.9656948035,657,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1209,2133,-4.99999992549,1009.43048096,14.8516155065,2648,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1242,2133,-2,1685.69421387,11.6434819524,626,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1274,2133,-2,1669.94519043,11.7840813635,636,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1306,2133,-2,1677.29003906,11.7048571212,611,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1338,2133,1,1688.46337891,11.6071523956,623,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1369,2133,1,1664.38183594,11.8101917417,614,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1421,2133,-4,1009.47540283,14.85117898,2649,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1452,2133,-2,1692.38623047,11.5831969293,623,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
1485,2133,-2,1689.63256836,11.5910477999,614,1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19056-2];2133,[5314-2][9179-2][10981-2][14825-2];2120,[5314-2][9179-2][14825-2][19056-2];2110
