TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
65,1317,-6.99999968708,73.7551422119,1.74113553091,3755,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][14825-2][19051-2][19054-2][19056-2];1082
98,1317,-2.99999991059,197.668579102,3.32440343415,2500,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
131,1317,-2.99999991059,345.002319336,4.76894572762,1721,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
163,1317,1,479.575897217,5.70892480049,1344,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
195,1317,1.75,593.463439941,6.24162184551,1047,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
227,1317,1.33333337307,656.918334961,6.53577419352,916,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
280,1317,-5.99999982119,553.702331543,8.19270346468,2636,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
313,1317,-2.99999991059,860.286193848,6.77818270628,691,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
344,1317,1.79999995232,841.848327637,6.98853803763,675,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
377,1317,4,851.593994141,7.09861956635,652,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
