TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
638,429,1,274.411621094,2.38146897912,629,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
671,429,1,272.88873291,2.37867078378,626,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
724,429,-2,206.405471802,2.97878107118,2623,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
33,271,-4,6.07156276703,0.173180104812,4627,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271,[9179-2][10981-2][14823-2][14825-2][15961-2][19051-2][19054-2][19056-2];171,[64-2][5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];138
67,429,-2.99999991059,15.8649158478,0.409541317535,4217,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271,[2602-2][5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];187
100,429,-2.99999991059,44.6361503601,0.880359892734,3247,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
133,429,1,87.2342453003,1.36955094221,2153,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
167,429,1,135.157485962,1.78695193648,1484,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
200,429,1,177.741516113,2.10275143022,1195,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
233,429,1,217.461654663,2.2549372397,912,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
287,429,-2.99999991059,186.869781494,2.79390061831,2635,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
321,429,1,284.867828369,2.31327720031,600,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
354,429,1,274.208435059,2.34461340081,591,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
387,429,2,272.873260498,2.36189288039,617,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
421,429,2,274.876251221,2.34465465862,596,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
454,429,2,274.834320068,2.35815464222,631,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
507,429,-2.99999991059,206.408508301,2.97826744882,2641,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
540,429,1,307.707061768,2.29498456621,459,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
574,429,3,288.540618896,2.34184323584,531,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
607,429,2,283.144927979,2.35809041297,544,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
640,429,1,279.277954102,2.37292623981,581,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
673,429,1,279.283538818,2.36135243672,567,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
33,182,-2.99999991059,6.00178909302,0.171140289147,4607,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2602-2][5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];182,[5314-2][7567-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];180,[2602-2][5314-2][9179-2][10981-2][14825-2][19051-2][19054-2][19056-2];159
67,429,-2.99999991059,16.7229671478,0.392190467934,4197,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271,[2602-2][5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];182
100,429,-2.99999991059,41.3302764893,0.719547263352,3195,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271
132,429,-2.99999991059,72.9847717285,1.07533011208,2308,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
