TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
794,1888,1,1439.05883789,10.4741689725,488,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
826,1888,3,1437.86096191,10.4583110537,474,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
859,1888,1.79999995232,1428.02294922,10.5470162925,477,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
911,1888,-6.99999968708,904.191772461,13.1851425775,2648,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
944,1888,-4,1449.42272949,10.4642484537,482,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
976,1888,2.75,1419.04125977,10.6167302124,475,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1008,1888,1,1409.07214355,10.7103619226,513,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1040,1888,1,1427.3638916,10.5543090445,490,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1073,1888,2,1415.51806641,10.6495234455,507,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1125,1888,-6.99999968708,904.17980957,13.1854748106,2647,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1157,1888,-6.99999968708,1442.31933594,10.5134918976,487,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1189,1888,-6.99999968708,1404.62658691,10.7383249185,489,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1221,1888,-6.99999968708,1398.78039551,10.7867995956,511,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1252,1888,1,1408.50280762,10.6956330125,483,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
1284,1888,2,1396.71484375,10.7472891489,499,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
