
==========
Order:2	2061
7	7
8	9
11	21
13	8
18	7
22	7
27	13
51	7
68	17
70	8
72	7
80	7
103	16
160	10
176	14
184	7
188	8
200	10
201	8
203	17
227	15
228	39
231	27
242	9
279	9
280	8
310	1025.04
327	14
344	11
361	17
366	9
367	146
370	7
376	33
377	16.5
382	18
402	16
409	18
415	9
429	37
435	7
461	17
478	9
486	112
491	17
500	51
513	7
518	9
527	8
572	32
575	8
577	7
584	17
600	7
601	17
607	10
632	33
633	14
642	6.5
664	14
674	15.5
690	30
691	9.5
705	20
755	16
756	14
758	14
763	40
776	49
786	10
794	16
796	50
822	11
823	16
825	14
830	9
831	7
845	7
846	7
850	18
869	8
893	12
900	52
910	18
911	7
912	40
914	6.75
925	7
933	11
934	7
972	7
980	26
982	9
984	8
986	14
993	36
995	8
996	7
1016	7
1033	21
1041	7
1046	7
1080	130.5
1082	8
1087	17
1091	7
1096	9
1099	7
1122	8
1123	7
1127	7
1128	10
1144	11
1150	7
1152	8
1157	7
1158	26
1159	142.5
1162	33
1171	9
1178	7
1186	23
1208	8
1214	16
1223	8
1226	7
1230	41
1263	30
1268	7
1269	10
1273	16
1275	22
1276	17
1283	8
1284	9
1290	11
1291	23
1303	11
1315	7
1329	8
1342	8
1346	7
1351	12
1357	7
1359	9
1362	8
1380	8
1388	7
1389	81
1410	150
1414	9
1453	8
1455	8
1457	7
1460	22
1479	7
1496	7
1518	15
1521	16
1540	7
1552	7
1554	23
1567	16
1569	7
1574	8
1576	10
1582	10
1598	14
1621	8
1640	8
1669	24
1690	16
1718	10
1722	7
1761	210
1779	7
1786	8
1791	16
1799	28
1805	16
1810	9
1811	26
1812	31
1813	8
1820	142
1821	7
1822	7
1827	16
1829	8
1835	9
1849	9
1850	8
1852	8
1871	16
1889	32
1894	9
1907	9
1914	32
1919	217
1921	7
1947	8
1951	6.6
1953	8
1954	8
1963	7
1978	15
2005	9
2010	17
2035	45
2047	8
2054	8
2075	9
2117	7
2123	7
2125	7
2148	11
2157	7
2174	11
2198	8
2205	8
2211	7
2224	17
2225	7
2235	8
2236	15
2248	7
2266	594
2298	8
2319	7
2332	10
2333	12
2336	118
2355	31
2358	7
2372	7
2403	8
2407	7
2411	8
2428	8
2429	7
2433	15
2443	8
2447	16
2448	7
2449	8
2474	18
2483	14
2485	8
2497	112.5
2516	8
2523	17
2527	8
2533	8
2535	184
2538	7
2552	23
2567	9
2570	7
2575	7
2576	8
2577	10
2591	16
2596	166
2597	154
2599	15
2603	31
2616	8
2617	15
2633	7
2655	7
2657	8
2670	10
2679	8
2694	8
2699	27
2710	9
2711	7
2714	8
2715	9
2733	212
2752	170
2763	8
2767	64
2774	8
2786	8
2827	17
2834	7
2836	13
2843	10
2867	7
2868	16
2874	20
2875	22.5
2882	7
2892	16
2904	10
2923	7
2949	38
2972	25
2973	9
2988	10
2992	16
3003	7
3006	9
3010	183
3026	8
3057	11
3063	142
3082	47
3083	57
3084	8
3088	29
3105	8
3114	9
3129	8
3147	14
3170	43
3175	7
3178	88
3183	9
3191	18
3213	15
3221	82
3232	16
3238	202
3241	10
3249	7
3262	7
3278	58
3281	24
3288	7
3306	8
3307	8
3308	27
3321	7
3345	8
3355	11
3358	14
3361	11
3371	8
3378	11
3390	8
3397	7
3405	17
3419	10
3457	8
3460	9
3468	7
3499	14
3514	8
3526	16
3548	8
3551	26
3592	8
3611	125
3612	15
3617	7
3619	32
3651	27
3652	9
3653	14
3657	16
3658	8
3682	8
3683	18
3701	8
3704	7.5
3720	32
3737	19
3744	8
3753	34
3765	19
3779	7
3804	7
3822	14
3825	18
3827	7
3829	30
3834	8
3836	7
3870	7
3876	7
3881	29
3918	9
3921	52
3924	9
3925	7
3929	118.333
3938	7
3955	8
3963	8
3967	14
3983	17
3991	7
4015	8
4016	8
4025	14
4039	8
4040	9.5
4072	8
