TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 30,Top
13,6,-5.99999982119,0.871031463146,0.023712821207,4785,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[2570-2][5908-2][6169-2][7499-2][14673-2][15239-2][18494-2];6;5;0;,[3361-2][5454-2][5489-2][6169-2][17296-2][18814-2][20422-2];6;5;0;,[1453-2][2332-2][6549-2][18190-2][18814-2][20422-2][21160-2];6;5;0;
26,6,-5.99999982119,0.94121670723,0.0241532550955,4778,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[3345-2][6549-2][8135-2][9446-2][15239-2][17421-2][21664-2];6;5;0;,[1453-2][2332-2][6549-2][18190-2][18814-2][20422-2][21160-2];6;5;0;,[5815-2][6169-2][6842-2][7499-2][17240-2][18960-2][20441-2];6;5;0;
38,7,-4.99999992549,1.00467514992,0.0251899793727,4758,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[2836-2][3307-2][4501-2][15148-2][18348-2][19742-2][21664-2];7;6;0;,[5815-2][7499-2][8382-2][13138-2][14673-2][15239-2][19636-2];6;5;0;,[3361-2][5454-2][5489-2][6169-2][17296-2][18814-2][20422-2];6;5;0;
51,8,-5.99999982119,1.08745825291,0.0250338824721,4743,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[2836-2][3307-2][4501-2][15148-2][18348-2][19742-2][21664-2];7;6;0;,[2867-2][5454-2][6842-2][8262-2][13138-2][14068-2][20583-2];6;5;0;
64,8,-4.99999992549,1.035556674,0.0260101765305,4742,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;,[2836-2][3307-2][4501-2][15148-2][18348-2][19742-2][21664-2];7;6;0;
77,8,-5.99999982119,1.08636343479,0.0259931356877,4740,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;,[2836-2][3307-2][4501-2][15148-2][18348-2][19742-2][21664-2];7;6;0;
98,8,-4.99999992549,1.44226241112,0.023515183658,4804,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;,[1171-2][3361-2][13138-2][14143-2][17240-2][19636-2][20441-2];8;7;0;
111,9,-4.99999992549,1.14268708229,0.0268095822692,4777,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
124,9,-5.99999982119,1.18182384968,0.0272446037829,4711,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
137,9,-5.99999982119,1.18910992146,0.0278466909671,4696,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
158,9,-5.99999982119,1.52890002728,0.0251612934284,4783,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
171,9,-5.99999982119,1.20960521698,0.0285069086126,4735,-1[310-2][4103-2][10838-2][17021-2][20924-2];30;29;0;,[5489-2][6549-2][15148-2][15871-2][17240-2][20161-2][20422-2];9;8;0;,[1041-2][2657-2][3361-2][6169-2][12265-2][17240-2][17421-2];8;7;0;,[5489-2][8382-2][9715-2][15148-2][15871-2][16247-2][18348-2];8;7;0;
