
==========
Order:3	244
14	70
19	14
27	28
60	14
76	70
98	14
100	28
114	14
122	14
126	14
129	14
140	14
143	70
159	13
161	40
166	28
167	14
175	14
187	42
202	14
204	14
222	14
229	14
232	14
233	14
257	14
258	27
262	14
263	14
279	14
292	14
293	14
306	14
319	42
356	27
359	56
369	28
370	13
373	68
374	14
375	14
379	13
380	28
389	13
394	14
395	14
400	13
405	27
413	13
425	14
434	14
437	14
447	41
448	13
455	42
462	14
466	40
474	54
478	13
486	13
492	41
495	13
516	13
518	14
520	56
525	26
531	98
537	12
539	41
543	14
546	27
550	12
570	39
580	13
588	41
594	14
601	13
611	41
615	40
617	13
628	13
629	54
634	14
650	13
651	13
655	14
667	14
677	14
688	28
693	13
694	14
697	13
705	28
707	26
708	14
714	13
715	27
719	14
723	13
746	13
753	14
756	38
759	12
765	13
766	13
767	14
770	12
776	39
783	13
789	14
797	13
800	28
802	13
815	13
818	13
826	40
829	62
854	39
855	12
857	13
861	14
881	13
882	27
919	12
924	169
926	52
928	12
936	12
952	13
954	14
958	26
967	13
989	14
993	24
996	13
1001	40
1005	13
1010	13
1021	13
1036	12
1039	26
1047	13
1052	27
1053	24
1071	12
1100	24
1104	13
1108	13
1112	109
1115	12
1121	12
1124	14
1126	14
1138	13
1141	14
1157	25
1179	13
1183	36
1184	13
1192	13
1194	12
1197	38
1223	13
1227	13
1229	13
1235	53
1248	13
1252	50
1270	26
1272	13
1296	25
1298	13
1319	13
1327	12
1346	24
1351	12
1368	25
1371	12
1374	25
1416	98
1420	24
1428	25
1429	12
1432	13
1438	13
1450	12
1479	12
1495	48
1500	13
1503	13
1516	13
1526	36
1529	24
1532	13
1543	36
1547	12
1548	12
1554	12
1555	12
1560	39
1562	12
1583	12
1589	24
1591	12
1595	13
1601	12
1615	12
1620	60
1638	12
1643	37
1654	13
1657	12
1663	61
1664	12
1673	12
1681	12
1691	24
1701	36
1703	12
1727	12
1737	12
1739	12
1748	13
1755	36
1785	12
1787	12
1825	12
1832	24
1837	25
1851	24
1855	24
1874	12
1886	25
1888	12
1903	48
1914	12
1925	12
1933	12
1934	12
1935	12
1939	12
1944	12
1957	12
1966	12
