TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,253.951774743,5.09522863422,113.975624084,1.97335292445,426,-1[149-2][264-2][320-2];5251.98097041,[48-2][363-2][463-2][516-2];253.951774743,[184-2][320-2][373-2][401-2];253.294906817,[66-2][141-2][181-2][533-2];247.491123525
0,560.790575639,1.79022057482,139.619018555,1.85083072509,421,-1[149-2][264-2][320-2];5251.98097041,[149-2][181-2][320-2][515-2];560.790575639,[24-2][48-2][363-2][516-2];361.371144984,[149-2][185-2][320-2][516-2];322.981951138
0,560.790575639,15.1240338743,158.132369995,2.36222740582,405,-1[149-2][264-2][320-2];5251.98097041,[149-2][181-2][320-2][515-2];560.790575639,[149-2][178-2][320-2][515-2];416.634357688,[24-2][48-2][363-2][516-2];361.371144984
0,1097.81917377,29.1406975032,176.180343628,3.23363644951,398,-1[149-2][264-2][320-2];5251.98097041,[66-2][264-2][320-2][557-2];1097.81917377,[149-2][181-2][320-2][515-2];560.790575639,[149-2][178-2][320-2][515-2];416.634357688
0,1372.04951455,29.1406975032,204.492218018,4.08674304086,390,-1[149-2][264-2][320-2];5251.98097041,[66-2][259-2][264-2][320-2];1372.04951455,[66-2][264-2][320-2][578-2];1283.08922533,[66-2][264-2][320-2][379-2];1245.47448208
0,2092.9743915,36.9379397685,293.533477783,9.42605950443,387,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][363-2][515-2];2092.9743915,[36-2][264-2][320-2][480-2];1759.70714337,[61-2][264-2][320-2][578-2];1566.99392997
0,2998.01389059,26.3011368981,569.231506348,18.1342722018,359,-1[149-2][264-2][320-2];5251.98097041,[3-2][264-2][320-2][515-2];2998.01389059,[149-2][264-2][320-2][556-2];2699.57044891,[149-2][264-2][320-2][515-2];2544.10619967
1,5251.98097041,51.4185737283,959.05267334,23.7655193143,309,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][432-2];5251.98097041,[149-2][264-2][320-2][428-2];3833.58970466,[3-2][264-2][320-2][515-2];2998.01389059
1,5251.98097041,50.0457377194,1359.00427246,27.6847709394,295,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][432-2];5251.98097041,[149-2][264-2][320-2][428-2];3833.58970466,[149-2][264-2][304-2][320-2];3715.73363976
1,5251.98097041,44.8940491302,1616.75231934,31.9074469101,289,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][432-2];5251.98097041,[149-2][264-2][320-2][480-2];4565.95460799,[27-2][149-2][264-2][320-2];4260.43718117
1,5251.98097041,45.6455530737,1787.29223633,42.6408681229,294,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][432-2];5251.98097041,[88-2][149-2][264-2][320-2];5134.25945612,[149-2][264-2][320-2][324-2];4680.31771289
1,5277.91353359,45.6455530737,2142.18139648,41.5724456024,268,-1[149-2][264-2][320-2];5251.98097041,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532,[149-2][264-2][320-2][432-2];5251.98097041
1,5277.91353359,61.2300847338,2503.32275391,50.9400183025,256,-1[149-2][264-2][320-2];5251.98097041,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532,[149-2][264-2][320-2][432-2];5251.98097041
1,5280.98863667,22.0061953339,2825.69995117,63.421706128,234,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,75.3286377108,3204.11572266,55.5700078479,202,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,80.2491737075,3529.46484375,52.999179428,186,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,36.364454143,3687.07568359,57.4418796583,195,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,36.364454143,3719.65576172,60.8689331527,193,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,75.7809944695,3564.37890625,61.6864750312,220,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,26.5400313708,3761.67236328,62.1406864189,206,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
1,5280.98863667,16.9171592374,3720.2746582,59.8978232538,208,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,19.2211236156,3823.57226563,60.4919797231,197,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,38.9736012481,3923.21826172,62.4569318899,193,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,21.523344014,3772.66699219,67.4193444531,201,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,27.8463972252,3895.35546875,66.5174520652,186,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,28.8144913231,3966.82910156,64.7388844189,184,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,23.1506573961,4005.23193359,60.6173972384,176,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,23.1506573961,3970.18408203,62.424726187,173,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,35.8237072994,4037.24414063,61.47288645,169,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,29.4339110319,4103.16455078,64.1966968697,161,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,29.4339110319,4317.23583984,58.8884056439,140,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,14.6923177991,4202.68847656,57.1538253673,162,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,23.1395901295,4199.86962891,59.4058277661,158,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
2,5280.98863667,0,2666.921875,72.7807402739,257,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,0,4306.76464844,43.0826886556,135,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,85.3361036822,4307.63720703,55.2026309849,136,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,16.8587328613,4228.24462891,58.7965341901,153,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,20.7077699245,4207.91845703,61.4357777109,155,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,2.00631218405,4105.75878906,64.1815956787,170,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,2.00631218405,4218.20947266,54.9436446609,154,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
3,5280.98863667,49.6176234189,4266.44677734,60.117639651,151,-1[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2][452-2];5280.98863667,[149-2][172-2][264-2][320-2];5277.91353359,[149-2][264-2][320-2][575-2];5271.54301532
0,257.00374353,9.0972072079,107.161895752,1.78344745529,414,-1[149-2][264-2][320-2];5251.98097041,[50-2][264-2][375-2][403-2];257.00374353,[111-2][388-2][525-2][578-2];243.195209353,[234-2][280-2][445-2][554-2];228.646377905
0,285.402077675,21.1468736308,127.203910828,1.85222560385,417,-1[149-2][264-2][320-2];5251.98097041,[50-2][264-2][448-2][530-2];285.402077675,[50-2][264-2][375-2][403-2];257.00374353,[201-2][240-2][397-2][548-2];254.851796764
0,306.127323368,23.6791844814,149.320983887,1.69737070913,411,-1[149-2][264-2][320-2];5251.98097041,[155-2][264-2][375-2][403-2];306.127323368,[50-2][264-2][297-2][445-2];295.859569377,[50-2][264-2][448-2][530-2];285.402077675
0,1265.9592464,14.0677201807,161.703460693,1.98451581049,409,-1[149-2][264-2][320-2];5251.98097041,[138-2][264-2][294-2][320-2];1265.9592464,[92-2][120-2][320-2][387-2];315.91024466,[155-2][264-2][375-2][403-2];306.127323368
0,1465.56877709,14.5821725898,192.158126831,5.0486211138,412,-1[149-2][264-2][320-2];5251.98097041,[50-2][264-2][320-2][537-2];1465.56877709,[138-2][264-2][294-2][320-2];1265.9592464,[138-2][166-2][264-2][320-2];1249.67892677
0,1984.24136762,26.51139434,275.237762451,11.5715534128,391,-1[149-2][264-2][320-2];5251.98097041,[83-2][264-2][320-2][391-2];1984.24136762,[37-2][264-2][320-2][485-2];1708.29321766,[50-2][264-2][320-2][544-2];1607.00646388
1,2581.6685267,7.2003079998,599.642578125,19.9408993576,358,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][537-2][559-2];2581.6685267,[264-2][320-2][340-2][365-2];2323.34587506,[155-2][264-2][294-2][320-2];2283.91882289
1,2665.4511036,41.1271783161,976.075500488,22.4378560022,306,-1[149-2][264-2][320-2];5251.98097041,[83-2][264-2][320-2][575-2];2665.4511036,[83-2][264-2][320-2][332-2];2640.41299395,[264-2][320-2][537-2][559-2];2581.6685267
1,3039.60302658,44.4681435872,1202.26757813,21.7728210421,298,-1[149-2][264-2][320-2];5251.98097041,[56-2][264-2][294-2][320-2];3039.60302658,[37-2][264-2][320-2][575-2];2840.37755243,[15-2][83-2][264-2][320-2];2684.84975335
1,4067.72348209,62.0703497928,1284.38549805,24.8008447787,336,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2][543-2];4067.72348209,[176-2][264-2][320-2][332-2];3770.66394255,[264-2][320-2][371-2][559-2];3203.89308199
1,4067.72348209,30.7165044241,1374.11486816,30.8192417708,362,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2][543-2];4067.72348209,[176-2][264-2][320-2][332-2];3770.66394255,[264-2][320-2][371-2][559-2];3203.89308199
