TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
0,1333.54285958,32.002040556,462.464111328,5.06750020292,668,-1[149-2][264-2][320-2];5251.98097041,[54-2][87-2][384-2][389-2][400-2][544-2];1333.54285958,[101-2][264-2][320-2][347-2][394-2][401-2];1316.4086824,[47-2][204-2][234-2][350-2][483-2][578-2];1203.34513112
0,1458.8933095,63.7573592321,612.938110352,7.7513487855,628,-1[149-2][264-2][320-2];5251.98097041,[94-2][196-2][320-2][422-2][447-2][448-2];1458.8933095,[47-2][204-2][234-2][384-2][389-2][441-2];1357.92330681,[47-2][204-2][234-2][286-2][463-2][483-2];1343.04546888
0,1458.8933095,86.8295867325,735.05090332,7.50326352043,639,-1[149-2][264-2][320-2];5251.98097041,[94-2][196-2][320-2][422-2][447-2][448-2];1458.8933095,[48-2][101-2][286-2][368-2][387-2][404-2];1442.49104313,[94-2][196-2][320-2][389-2][422-2][540-2];1421.12060927
1,1566.57065414,107.692005024,837.196899414,7.52223791899,643,-1[149-2][264-2][320-2];5251.98097041,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57065414,[94-2][196-2][320-2][422-2][447-2][448-2];1458.8933095,[54-2][87-2][384-2][389-2][437-2][573-2];1449.39439498
1,1566.57065414,127.96326349,894.245544434,9.56851395816,645,-1[149-2][264-2][320-2];5251.98097041,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57065414,[264-2][320-2][418-2][437-2][536-2][563-2];1488.12208278,[94-2][196-2][320-2][422-2][447-2][448-2];1458.8933095
1,1633.78524319,192.36760598,964.530883789,5.03274977012,639,-1[149-2][264-2][320-2];5251.98097041,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[198-2][264-2][267-2][320-2][371-2][461-2];1620.85862342,[38-2][92-2][204-2][254-2][389-2][441-2];1566.57065414
1,1800.17805395,168.224334244,990.06451416,7.50269506447,664,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[198-2][264-2][267-2][320-2][371-2][461-2];1620.85862342
1,1800.17805395,145.025892863,1025.26574707,7.26659553788,639,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[198-2][264-2][267-2][320-2][371-2][461-2];1620.85862342
1,1800.17805395,136.738221858,1024.99462891,6.35027589551,650,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[198-2][264-2][267-2][320-2][371-2][461-2];1620.85862342
1,1800.17805395,259.515525638,1078.10473633,8.77909626171,656,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[198-2][264-2][267-2][320-2][371-2][461-2];1620.85862342
2,1800.17805395,207.597157496,1103.28442383,9.48395394532,653,-1[149-2][264-2][320-2];5251.98097041,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[38-2][92-2][190-2][191-2][342-2][441-2];1633.78524319,[198-2][264-2][267-2][320-2][371-2][461-2];1620.85862342
