TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
0,75.4730518058,5.58081823714,36.7992706299,0.662245188821,133,-1[149-2][264-2][320-2];5251.98097041,[30-2][363-2];75.4730518058,[363-2][438-2];68.1622021403,[363-2][464-2];66.1427649688
0,91.2376419609,2.49091351045,42.9969863892,0.759209204816,104,-1[149-2][264-2][320-2];5251.98097041,[178-2][320-2];91.2376419609,[30-2][363-2];75.4730518058,[363-2][445-2];69.2074518933
0,114.708182325,3.13560702525,44.7206573486,0.923683386317,111,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][281-2];98.5503492218,[178-2][320-2];91.2376419609
0,114.708182325,1.83719824885,49.8803443909,1.09890725291,105,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[245-2][281-2];98.5503492218
0,114.708182325,1.33982112745,57.0346565247,0.920925433501,97,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[245-2][281-2];98.5503492218
0,114.708182325,1.33982112745,64.1774749756,1.3075826623,94,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[320-2][424-2];103.198779856
0,114.708182325,1.33982112745,70.6074905396,0.995603953769,95,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[320-2][424-2];103.198779856
0,114.708182325,1.33982112745,78.6550216675,1.10663828284,86,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[320-2][424-2];103.198779856
0,114.708182325,4.2897847161,84.1826477051,1.10599776737,77,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[320-2][424-2];103.198779856
0,114.708182325,3.26044503831,85.6851119995,1.00559606096,73,-1[149-2][264-2][320-2];5251.98097041,[320-2][363-2];114.708182325,[245-2][320-2];105.461523063,[320-2][424-2];103.198779856
