TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
1,3699.35660378,12.6481103732,2272.57250977,42.9524867773,116,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,12.6481103732,2219.86425781,32.0311177657,117,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,0.00331953957003,1523.40478516,43.731459004,182,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,3699.35660378,0.00331953957003,2319.9375,44.2548435505,99,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001,[56-2][264-2][320-2];3282.69404164
1,4067.72348209,25.2995477128,2350.05175781,42.9482320536,96,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,4067.72348209,25.2995477128,2353.20385742,30.0015414198,102,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,4067.72348209,46.8336453773,2478.9609375,40.0181163325,90,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,4067.72348209,25.1959560053,2340.33544922,30.4320959645,111,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,4067.72348209,39.8090652232,2462.29345703,30.3069253613,97,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,4067.72348209,43.1272212034,2464.76147461,43.9486238554,100,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378,[195-2][264-2][320-2];3355.51898001
1,5251.98097041,81.9417497306,2494.03149414,31.4993975762,102,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
1,5251.98097041,79.5369440578,2645.16723633,43.3409254232,90,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[264-2][296-2][320-2];3699.35660378
2,5251.98097041,16.3757039961,2597.81054688,52.3860291564,98,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,19.3220966681,2718.5769043,31.5998645411,100,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,9.36399047184,2656.17407227,42.3117602538,109,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,66.1262144007,2917.12329102,48.2702402608,91,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,78.0621611081,2995.04638672,53.7823335778,86,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,66.1262144007,2872.875,52.9639994221,103,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,9.48751182876,3099.75878906,34.0796480884,83,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,66.1262144007,2983.53076172,41.7613092466,94,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,66.1262144007,3179.58276367,63.4336074397,82,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,17.3323056528,3087.00244141,58.8405347362,92,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
2,5251.98097041,12.2656719667,3151,35.0657161461,85,0[149-2][264-2][320-2];5251.98097041,[149-2][264-2][320-2];5251.98097041,[264-2][320-2][461-2];4067.72348209,[176-2][264-2][320-2];3770.66394255
