TimeElapsed, Max, Min, Mean, Std, Number of items., Selected, Best Chromosomes
2,61,-6.333333585,6.69105529785,0.170279315307,2758,-1[48:136:228:358:0],[49-2][76-0][199-0][358-2];61,[26-1][329-2][358-2][363-0];54,[127-0][291-1][329-2][358-2];53,[47-2][358-2][379-0][448-2];50,[47-2][358-2][370-0][444-2];47,[188-0][291-1][329-2][358-2];45,[15-1][47-2][163-1][358-2];42,[47-2][75-0][86-0][358-2];41.2000007629,[148-2][329-2][358-2][373-0];41,[47-2][225-0][258-1][358-2];41,[45-2][96-1][326-0][358-2];41,[47-2][289-0][293-2][358-2];41,[117-0][161-2][358-2][383-0];41,[47-2][108-0][358-2][448-2];40
2,74,-5.99999982119,7.79866361618,0.192064340524,2715,-1[48:136:228:358:0],[47-2][169-0][266-1][358-2];74,[49-2][76-0][199-0][358-2];61,[26-1][329-2][358-2][363-0];54,[127-0][291-1][329-2][358-2];53,[47-2][358-2][379-0][448-2];50,[47-2][56-0][308-1][358-2];48.5,[47-2][96-0][358-2][399-0];47.5999984741,[47-2][358-2][370-0][444-2];47,[47-2][191-1][358-2][436-0];47,[188-0][291-1][329-2][358-2];45,[20-0][191-1][317-2][358-2];42,[15-1][47-2][163-1][358-2];42,[47-2][75-0][86-0][358-2];41.2000007629,[45-2][96-1][326-0][358-2];41
2,74,-9.99999985099,8.78973960876,0.214040133118,2690,-1[48:136:228:358:0],[47-2][169-0][266-1][358-2];74,[65-0][329-2][355-0][358-2];64,[49-2][76-0][199-0][358-2];61,[47-2][131-0][346-1][358-2];57.5,[47-2][66-1][358-2][370-0];56,[47-2][75-0][254-0][358-2];54.5,[26-1][329-2][358-2][363-0];54,[127-0][291-1][329-2][358-2];53,[47-2][358-2][379-0][448-2];50,[188-1][280-1][358-2][377-0];50,[47-2][56-0][308-1][358-2];48.5,[47-2][96-0][358-2][399-0];47.5999984741,[47-2][191-1][358-2][436-0];47,[47-2][358-2][370-0][444-2];47
2,80,-8,9.42893791199,0.233523381268,2697,-1[48:136:228:358:0],[47-2][241-0][358-2][414-0];80,[47-2][169-0][266-1][358-2];74,[65-0][329-2][355-0][358-2];64,[117-2][318-1][329-1][358-2];62,[49-2][76-0][199-0][358-2];61,[47-2][131-0][346-1][358-2];57.5,[47-2][66-1][358-2][370-0];56,[47-2][75-0][254-0][358-2];54.5,[26-1][329-2][358-2][363-0];54,[127-0][291-1][329-2][358-2];53,[47-2][358-2][379-0][448-2];50,[188-1][280-1][358-2][377-0];50,[47-2][56-0][308-1][358-2];48.5,[47-2][96-0][358-2][399-0];47.5999984741
3,80,-8,10.1608276367,0.252940291225,2689,-1[48:136:228:358:0],[47-2][241-0][358-2][414-0];80,[127-0][267-2][291-1][358-2];77,[47-2][246-2][280-0][358-2];75,[47-2][169-0][266-1][358-2];74,[47-2][127-0][319-1][358-2];74,[65-0][329-2][355-0][358-2];64,[117-2][318-1][329-1][358-2];62,[49-2][76-0][199-0][358-2];61,[217-2][251-0][329-1][358-2];61,[47-2][131-0][346-1][358-2];57.5,[6-0][77-0][217-2][358-2];57,[47-2][66-1][358-2][370-0];56,[47-2][75-0][254-0][358-2];54.5,[26-1][329-2][358-2][363-0];54
3,80,-10.9999996722,11.3448915482,0.277951020715,2653,-1[48:136:228:358:0],[47-2][241-0][358-2][414-0];80,[127-0][267-2][291-1][358-2];77,[47-2][246-2][280-0][358-2];75,[47-2][169-0][266-1][358-2];74,[47-2][127-0][319-1][358-2];74,[47-2][56-0][358-2][371-1];71,[47-2][243-0][294-0][358-2];67.5,[65-0][329-2][355-0][358-2];64,[117-2][318-1][329-1][358-2];62,[49-2][76-0][199-0][358-2];61,[217-2][251-0][329-1][358-2];61,[49-2][165-0][241-0][358-2];60,[47-2][131-0][346-1][358-2];57.5,[6-0][77-0][217-2][358-2];57
3,80,-9.99999985099,12.2896547318,0.295934355116,2605,-1[48:136:228:358:0],[47-2][241-0][358-2][414-0];80,[127-0][267-2][291-1][358-2];77,[47-2][246-2][280-0][358-2];75,[47-2][169-0][266-1][358-2];74,[47-2][127-0][319-1][358-2];74,[47-2][56-0][358-2][371-1];71,[47-2][243-0][294-0][358-2];67.5,[65-0][329-2][355-0][358-2];64,[117-2][318-1][329-1][358-2];62,[49-2][76-0][199-0][358-2];61,[217-2][251-0][329-1][358-2];61,[49-2][165-0][241-0][358-2];60,[45-2][96-0][358-2][436-2];59,[49-2][76-0][358-2][399-0];58.5
3,80,-6.99999968708,13.0348558426,0.3109661683,2567,-1[48:136:228:358:0],[47-2][241-0][358-2][414-0];80,[127-0][267-2][291-1][358-2];77,[47-2][246-2][280-0][358-2];75,[47-2][169-0][266-1][358-2];74,[47-2][127-0][319-1][358-2];74,[47-2][241-0][326-0][358-2];72,[47-2][56-0][358-2][371-1];71,[47-2][243-0][266-1][358-2];71,[47-2][199-0][241-0][358-2];68,[47-2][243-0][294-0][358-2];67.5,[65-0][329-2][355-0][358-2];64,[117-2][318-1][329-1][358-2];62,[49-2][76-0][199-0][358-2];61,[217-2][251-0][329-1][358-2];61
3,86,-6.99999968708,14.6806144714,0.338655667712,2550,-1[48:136:228:358:0],[47-2][241-0][358-2][434-0];86,[47-2][241-0][358-2][414-0];80,[47-2][358-2][370-0][398-0];77.5,[127-0][267-2][291-1][358-2];77,[47-2][246-2][280-0][358-2];75,[47-2][169-0][266-1][358-2];74,[47-2][127-0][319-1][358-2];74,[47-2][241-0][326-0][358-2];72,[47-2][205-1][283-1][358-2];72,[47-2][56-0][358-2][371-1];71,[47-2][243-0][266-1][358-2];71,[47-2][199-0][241-0][358-2];68,[47-2][243-0][294-0][358-2];67.5,[65-0][329-2][355-0][358-2];64
3,95,-4.99999992549,16.6185016632,0.367831552797,2469,-1[48:136:228:358:0],[47-2][241-0][358-2][368-1];95,[47-2][241-0][254-0][358-2];93,[47-2][241-0][358-2][369-1];90,[47-2][241-0][358-2][434-0];86,[47-2][358-2][371-1][444-1];86,[47-2][150-0][241-0][358-2];81,[47-2][241-0][358-2][414-0];80,[47-2][358-2][370-0][398-0];77.5,[127-0][267-2][291-1][358-2];77,[47-2][149-0][241-0][358-2];76,[47-2][246-2][280-0][358-2];75,[47-2][169-0][266-1][358-2];74,[47-2][127-0][319-1][358-2];74,[47-2][241-0][326-0][358-2];72
