TimeElapsed, Max, Min, Mean, Std, Number of items., Selected,level 1,level 2,level 3,-1
0,28,-4,2.89615392685,0.377711031845,237,-1[1:2:0],[1;-N][2;-17-2]
0,33,-26,4.56153869629,0.597727642068,226,-1[1:2:0],[1;-N][2;-21-2]
0,35,-21,5.68461561203,0.650649862456,226,-1[1:2:0],[1;-N][2;-21-2]
0,44,-32,5.83461523056,0.8195998488,235,-1[1:2:0],[1;-N][2;-21-2]
0,58,-32,7.69999980927,0.880177833027,234,-1[1:2:0],[1;-N][2;-27-2]
0,58,-5,9.24615383148,0.845036378842,238,-1[1:2:0],[1;-N][2;-27-2]
0,10,-11,-0.288461536169,0.112091822608,233,-1[1:2:0],[1;-N][2;-11-1]
0,44,-11,0,0.235904403465,224,-1[1:2:0],[1;-N][2;-11-1]
0,44,-5,1.12692308426,0.25386979897,225,-1[1:2:0],[1;-N][2;-16-1]
0,44,-7,2.39230775833,0.3649994856,223,-1[1:2:0],[1;-N][2;-18-1]
0,55,-9,5.28846168518,0.677877009064,223,-1[1:2:0],[1;-N][2;-18-1]
0,55,-5,8.86923122406,0.851708636374,212,-1[1:2:0],[1;-N][2;-20-1]
0,90,-34,13.6307687759,1.23127726201,193,-1[1:2:0],[1;-N][2;-22-1]
0,90,-5,14.9692306519,1.1101052368,206,-1[1:2:0],[1;-N][2;-23-1]
0,90,-2,19.9346160889,1.20536208598,190,-1[1:2:0],[1;-N][2;-25-1]
0,97,-34,22.1115379333,1.58010825309,173,-1[1:2:0],[1;-N][2;-26-1]
0,97,-4,24.4076919556,1.46786477284,185,-1[1:2:0],[1;-N][2;-26-1]
0,97,-4,29.5115375519,1.57236190909,181,-1[1:2:0],[1;-N][2;-27-1]
0,97,-5,32.3230781555,1.71789597788,185,-1[1:2:0],[1;-N][2;-28-1]
0,97,-6,34.3923072815,1.7810225132,192,-1[1:2:0],[1;-N][2;-28-1]
0,97,-8,30.5499992371,1.84220872546,211,-1[1:2:0],[1;-N][2;-29-1]
0,97,-3,33.3038444519,1.87763619868,203,-1[1:2:0],[1;-N][2;-29-1]
0,123,-67,31.7038459778,2.28589123969,193,-1[1:2:0],[1;-N][2;-29-1]
0,8,-6,0.13846154511,0.0794782714357,240,-1[1:2:0],[1;-N][2;-9-1]
0,18,-9,0.219230771065,0.161653065856,223,-1[1:2:0],[1;-N][2;-10-1]
0,20,-13,0.784615397453,0.266911395819,220,-1[1:2:0],[1;-N][2;-14-1]
0,33,-13,1.59230768681,0.36216771376,219,-1[1:2:0],[1;-N][2;-16-1]
0,35,-20,3.18461537361,0.508116641747,221,-1[1:2:0],[1;-N][2;-19-1]
0,40,-25,4.13076925278,0.603852937813,224,-1[1:2:0],[1;-N][2;-22-1]
0,47,-42,5.52692317963,0.80362355713,208,-1[1:2:0],[1;-N][2;-23-1]
0,13,-10,-0.123076923192,0.114874612532,225,-1[1:2:0],[1;-N][2;-8-1]
0,23,-17,0,0.201473859288,234,-1[1:2:0],[1;-N][2;-8-1]
0,25,-22,0.626923084259,0.276784461527,229,-1[1:2:0],[1;-N][2;-12-1]
0,25,-6,1.86923074722,0.329908402344,222,-1[1:2:0],[1;-N][2;-15-1]
0,67,-25,3.40769219398,0.536435537624,214,-1[1:2:0],[1;-N][2;-18-1]
0,67,-6,4.60769224167,0.53462900668,223,-1[1:2:0],[1;-N][2;-20-1]
0,67,-5,6.33076906204,0.627849172591,223,-1[1:2:0],[1;-N][2;-30-1]
1,6,-9,-0.0615384615958,0.0783535630173,226,-1[1:2:0],[1;-N][2;-9-1]
1,29,-10,-0.176923081279,0.1649754123,223,-1[1:2:0],[1;-N][2;-9-2]
1,29,-4,0.384615391493,0.174631414951,229,-1[1:2:0],[1;-N][2;-11-2]
1,29,-6,1.59230768681,0.268647296748,228,-1[1:2:0],[1;-N][2;-14-2]
1,29,-2,4.14615392685,0.452155360171,204,-1[1:2:0],[1;-N][2;-14-2]
1,40,-24,8.78076934814,0.730612370272,178,-1[1:2:0],[1;-N][2;-14-2]
1,74,-20,9.85000038147,0.882079559401,199,-1[1:2:0],[1;-N][2;-17-2]
1,74,-5,13.0846157074,0.96044659901,203,-1[1:2:0],[1;-N][2;-24-2]
1,74,-3,19.1076927185,1.1087267113,192,-1[1:2:0],[1;-N][2;-24-2]
1,74,-11,21.8730773926,1.19477914784,188,-1[1:2:0],[1;-N][2;-24-2]
1,86,-50,21.215385437,1.59439633761,189,-1[1:2:0],[1;-N][2;-24-2]
1,86,-3,22.3384609222,1.40479006931,199,-1[1:2:0],[1;-N][2;-26-2]
1,97,-54,27.3884620667,1.65485553001,183,-1[1:2:0],[1;-N][2;-26-2]
1,97,-6,27.5307693481,1.58847901763,190,-1[1:2:0],[1;-N][2;-28-2]
1,97,-4,31.9961547852,1.66072360785,179,-1[1:2:0],[1;-N][2;-28-2]
