TimeElapsed, Max, Min, Mean, Std, Number of items., Selected,level 1,level 2,level 3,level 4,level 5,-1
1,4,-2,-0.00219999998808,0.00244111286097,4666,-1[1:2:0],[1;-16-25][2;-19-23]
1,4,-1,0.0157999992371,0.00220682396217,4766,-1[1:2:0],[1;-20-41][2;-14-48]
2,5,-2,0.0258000008762,0.00442570581941,4683,-1[1:2:0],[1;-23-42][2;-14-59]
2,5,-2,0.0662000030279,0.00449483169874,4767,-1[1:2:0],[1;-23-43][2;-14-72]
2,6,-4,0.0531999990344,0.00671073408801,4748,-1[1:2:0],[1;-25-43][2;-15-82]
2,9,-8,0.0489999987185,0.00834983832179,4765,-1[1:2:0],[1;-28-43][2;-14-97]
2,9,-1,0.134000003338,0.00818344670661,4799,-1[1:2:0],[1;-32-44][2;-14-102]
3,17,-9,0.195999994874,0.0149397724213,4746,-1[1:2:0],[1;-39-44][2;-15-105]
3,17,-1,0.288800001144,0.0148660321539,4817,-1[1:2:0],[1;-45-44][2;-17-105]
3,17,-1,0.626200020313,0.0235290185091,4728,-1[1:2:0],[1;-50-44][2;-19-105]
4,22,-22,1.11119997501,0.0431463429737,4640,-1[1:2:0],[1;-55-44][2;-24-105]
0,1,-1,0.00639999983832,0.00146690422319,4747,-1[1:2:0],[1;-15-26][2;-10-27]
0,6,-3,0.00240000011399,0.0031366938008,4684,-1[1:2:0],[1;-23-39][2;-9-58]
0,6,-2,0.0265999995172,0.00285280353337,4756,-1[1:2:0],[1;-24-48][2;-10-80]
1,11,-3,0.0292000006884,0.00509798705373,4743,-1[1:2:0],[1;-25-48][2;-10-98]
1,11,-1,0.0773999989033,0.0052651541288,4744,-1[1:2:0],[1;-25-49][2;-10-115]
1,22,-6,0.108000002801,0.0117604081562,4734,-1[1:2:0],[1;-25-49][2;-10-118]
1,22,-2,0.160400003195,0.0122169704919,4810,-1[1:2:0],[1;-28-49][2;-11-121]
2,25,-9,0.255199998617,0.0234643259439,4763,-1[1:2:0],[1;-33-49][2;-12-121]
2,25,-1,0.3492000103,0.02064509937,4827,-1[1:2:0],[1;-41-49][2;-12-122]
2,37,-11,0.832199990749,0.0431936179545,4663,-1[1:2:0],[1;-49-49][2;-16-122]
3,37,-1,1.01380002499,0.0401895746681,4795,-1[1:2:0],[1;-54-49][2;-19-122]
3,43,-24,2.40799999237,0.0806334124293,4584,-1[1:2:0],[1;-59-49][2;-21-122]
3,54,-21,2.25020003319,0.0871352970501,4749,-1[1:2:0],[1;-61-49][2;-21-122]
4,54,-1,2.90159988403,0.0874641840298,4820,-1[1:2:0],[1;-62-49][2;-26-122]
4,63,-37,6.6592001915,0.145270131383,4462,-1[1:2:0],[1;-63-49][2;-29-122]
5,63,-1,6.3029999733,0.136487941592,4711,-1[1:2:0],[1;-63-49][2;-29-122]
5,72,-26,11.0866003036,0.19380252859,4376,-1[1:2:0],[1;-63-49][2;-31-122]
5,76,-41,10.6577997208,0.209829215869,4546,-1[1:2:0],[1;-63-49][2;-33-122]
6,83,-25,9.89920043945,0.221801460482,4606,-1[1:2:0],[1;-63-49][2;-33-122]
6,83,-1,11.9068002701,0.214534525781,4620,-1[1:2:0],[1;-63-49][2;-33-122]
7,83,-1,19.9708003998,0.246507717101,4004,-1[1:2:0],[1;-63-49][2;-33-122]
0,2,-3,-0.00400000018999,0.00238260361789,4643,-1[1:2:0],[1;-15-25][2;-20-22]
0,2,-1,0.0164000000805,0.00214154336869,4747,-1[1:2:0],[1;-20-37][2;-15-41]
1,18,-3,0.0280000008643,0.00573438749999,4714,-1[1:2:0],[1;-23-37][2;-18-50]
1,18,-1,0.0777999982238,0.0064147823034,4751,-1[1:2:0],[1;-24-37][2;-18-61]
1,18,-1,0.122599996626,0.00855534032052,4732,-1[1:2:0],[1;-27-37][2;-18-70]
2,18,-2,0.197400003672,0.011610626512,4715,-1[1:2:0],[1;-32-37][2;-19-71]
2,23,-13,0.251399993896,0.0198544606575,4731,-1[1:2:0],[1;-39-37][2;-23-71]
2,32,-18,0.270000010729,0.0241540886808,4780,-1[1:2:0],[1;-46-37][2;-27-71]
3,32,-1,0.447600007057,0.0241828626924,4842,-1[1:2:0],[1;-51-37][2;-30-71]
3,33,-24,1.14460003376,0.0520470764597,4663,-1[1:2:0],[1;-58-37][2;-35-71]
0,2,-1,0.0104000000283,0.00164267099567,4776,-1[1:2:0],[1;-24-17][2;-20-20]
1,4,-3,0.00719999987632,0.00330902281648,4660,-1[1:2:0],[1;-24-31][2;-15-43]
1,4,-1,0.0432000011206,0.00342151311557,4774,-1[1:2:0],[1;-24-32][2;-15-56]
1,9,-4,0.0472000017762,0.0058817031547,4725,-1[1:2:0],[1;-24-32][2;-15-69]
1,10,-5,0.0529999993742,0.00738364408676,4728,-1[1:2:0],[1;-25-33][2;-15-79]
2,16,-10,0.0678000003099,0.0108000292592,4717,-1[1:2:0],[1;-32-33][2;-15-84]
2,16,-2,0.157600000501,0.0106053028245,4836,-1[1:2:0],[1;-40-33][2;-15-85]
2,19,-9,0.218400001526,0.0173614598465,4775,-1[1:2:0],[1;-45-33][2;-16-85]
2,19,-1,0.316399991512,0.0176334400501,4848,-1[1:2:0],[1;-56-33][2;-23-85]
3,26,-14,0.672599971294,0.0351892291476,4706,-1[1:2:0],[1;-61-33][2;-25-85]
3,27,-13,0.667599976063,0.0394662140064,4793,-1[1:2:0],[1;-65-33][2;-28-85]
3,31,-14,0.788600027561,0.0461161794601,4813,-1[1:2:0],[1;-68-33][2;-34-85]
1,2,-2,-0.00380000006407,0.00244071956603,4684,-1[1:2:0],[1;-24-19][2;-17-23]
1,2,-1,0.0157999992371,0.00209524986577,4735,-1[1:2:0],[1;-25-27][2;-12-53]
1,5,-5,0.0120000001043,0.00409526555915,4732,-1[1:2:0],[1;-25-31][2;-10-75]
